@RELATION comment
@ATTRIBUTE comm string
@attribute classe {-1,1}
@data
"ended watching whole very long fascinated sheer difficult believe so many famous willingly participated maybe really so naive written confused Latin American Marxist actually good nice spiritual suddenly compelled ease bad releasing Siberian then promptly allowed see secret Vatican papal portrayed most hillariously pious possibly imagine Meanwhile achieved usual socialist economic starving solve minor relentless shining start nuclear justly distribute Western capitalist poor good old worried just ask Chinese old roll laughing thought looked Western pay quite logical n't always pay sacrifice too common altruistic social crowned entire Catholic world-wide feed poor Chinese thus nuclear Apart there also minor alas provide little redeem incredibly bad give quite unlikely much more plausible Greek ",-1
"expected severally let not rather pick making loosely based real heard heavy English giving German red 2nd contrived not tricked helped smuggle original recorded not played picked there poor incorrect black used went away daily started stereo essentially out n't waste ",-1
"absolutely dumbest ever seen splendid playing deputy go obviously spending more ever did only about revel profane reasonable human worst ever seen ",-1
"Bad saw there done actually interesting told not told well ",-1
"found so curious saw full oddly dispassionate very charismatic engaged gargantuan political almost totally devoid emotional best second slightly high pitched basically come telling here go there do use result still requisite play shunted minor second expect fire dullish hairy bearded running various shouting shooting particular end Several read showered ignoring almost completely spent more talking new digital entirely odd odd do only hired no more competent unremarked black white imagine directed instead get dull ",-1
"just downright not funny not worse worst ever just terrible make most beloved made worst all-time such n't seen more maybe just so bad n't even describe badly made fired ",-1
"going most useless ever put down yet do warn not only very worst right up there worst boring pointless nearly free horrible 3-D over-the-top enough drive n't stop there just add bad acting terrible cheesy got heaping as always played made postmortem too went out like strictly only n't stare ",-1
"loved thought great really glad won also liked great just made so angry happened n't care different n't stand together did n't surprise n't proposed n't see forcing marry ready meant then not just other love other let come naturally Turning completely unnecessary stupidly obvious breaking proposing anyway failed rush just pitched really rushed wrong Maybe now take find married ",-1
"n't really post wanted make sure warn unfinished redeeming whatsoever technical completely amateur constant unintentional dubbing wildly completely clichd laughable embarrassing n't want too harsh made awful innocent see much positive ",-1
"better strengthened considerably making a50 Too much superfluous chief bad looking escaped did n't help Living extremely silly quite unnecessary punish now exactly killing again ",-1
"actually created worst ever seen low featuring so similar 1st found sitting right next actually think good instead watched poor acting ripped 1st thought actually even half decent pretty much most seen ",-1
"stunning fictional innocent young all forced never wanted young new as well complete deeper deeper first greatest cinematic Then along came now aging previous not subtle trying use good admitting Very uncharacteristic complex use good derailed ambitious young eventually ongoing predictably realizing entire worthless failed putting protecting reaching lowest own killed made emotionally riveting innocent young unbelievably tragic forgetting abandoning always mattered most always just greatly first horrible never made only final pretend not exist actually shockingly horrible own killed ",-1
"Oh so bad weak best flat lifeless even childish far too seriously meant funny saw last entire laughing n't studying also trying see many cram only together sorry first lost animate so please n't try only embarrass ",-1
"never read said good did read ever did ruined so many n't really worthy First n't somewhat n't No made helped sink used real so called thought sleeping wanted get away also blackmailed hiding being n't even really mentioned n't believe not together actually first black painted just went visit become fast left west then together Eventually marry again short Only heart broken again Then go back written Now did n't want let get say played did wonderfully blond not really did n't trick alive No there named Eventually actually taking Then Not pregnant also real did not die cut fell possibly pushed never really knew landed almost pure likely took not knowing fell also really dieing did n't show endeared striped bare Then made else n't just own made different enough sure made more so ",-1
"Inept boring incoherent supernatural constant n't begin tell bad ever there ever actual did not particular all sadly unconvincing then again no good promote few good about did get green discernible sense really whole pointless alleged cut watched pure ",-1
"Seriously read ask watching same set able recreate vintage likable aimless simply not very good just icky animated Then creepy creepier so other go ",-1
"not just considered also written Now n't get wrong here not total did n't hate n't enough like more fair high arty poor honestly mystified seemingly so acclaimed Long winded indulgent rambling finish just so little credibly so high fair worse confessed best far so completely unengaging meandering several loosely connected even significant changing depicted so pointless uninteresting crying get blown n't help very easy identify empathise well did n't think so n't most admittedly all play rather unentertaining great demonstrating intricate playing deep meaningful nth many waffling dire as well marrow-suckingly irritating hitherto thought unique about as enjoyable forced repeatedly watch intermittently poked disgruntled good though ",-1
"did n't expect much set lower starring Still managed disappoint failing even cut pasted dealing big leaned back said done predictable even worse forced look taking seriously even laughable better Also let sitting Fatal just that ",-1
"only now always heard awful did not disappoint best worst well just else old just squirmed n't look started rapping kept wondering did n't wish fix front just n't stop watching sucked black hypnotic worth just say actually watched ",-1
"star good making bad peaked then started making dreadful became hottest only invite appalling Last here loquacious unbelievably tedious childish generally plain awful see great big tight most appealing entire pure social contacted mysterious told ask rescue Tibetan mystical rule main classy terribly embarrassed hey sure well paid sacrificing easily worst read nice see atypical non formulaic loosely true no forgiving however atypical non formulaic absolute ",-1
"funny miserably just terrible old threw together dull cliched young maybe rent n't waste hard earned pay see ",-1
"other alluded previously like know actually read went next going green examined actual responsible actually dishing made reading well love give maybe like just give more atrocious funny least made good incredibly funny here not only not only acting terrible not only entire finish not only amateurish find actually pay see Maybe free still Usually inclined write long winded detailed so bad just suffice say talking lowest common making about as unfunny top worst ",-1
"so bad almost very funny absolutely dire appalling purely only letting true so bad good sound only quite bad trying hard n't least destroy finally last not least appalling professional very much feel sorry sorry put ",-1
"just terrible first n't great ridiculously stupid did n't enough first add just not make ongoing tell exactly actually very very good just n't understand supposed old n't scared ridiculous least want scared so called no more ",-1
"excellent certainly rise acting put Unfortunately Watching only alike not fall asleep mind-numbingly boring very predictable unimaginative very hard funny forced extremely poorly directed embarrassing complete third still capture even most willing even hinted not mention actually happening pretty sure liked faked fake did showed old n't care less about Watching nowhere near somewhere -Repress doing Well bore done very good complete n't let Rating ",-1
"first writing write unadulterated starting get gonna bad pathetic big loved worst worked hard somehow missing prashant non most irritating took repetitive somehow felt tried repeat did n't work Do n't ",-1
"already thought similar similar first came mind watched said there sexual bordered edited presented more suggestively rather graphically liken torn kind like handed put together finished lacking unfortunately many monotonous teased finally going find more about going on maybe finally going get know appreciate more involved more such contrary many tempted just turn off more once stuck dangled only find poorly presented just stayed other usually better gave not n't likable SOME n't identify just so much better just little more shot find wondering given better honestly frustrating disappointing ",-1
"n't understand done far worst related totally unfunny public just do best funny specially playing young Overall more boring see ultra cheap absolutely funny little related truly recommend instead ",-1
"lukewarm best high big popular rather funny main supposedly humorous entertain did n't hear single entire going page-thin one-dimensional single not wished here sterile clumsy good doing best come certainly n't seem great let alone comic linked together very thin good haunt ",-1
"n't expect good n't ultra violent filmed bad looking hand-held hilarious obviously never acted before terrible hilarious seen little find seemed escaped terrorizing actually most sickening ever seen raided many dismembering eating funny sickening about as bad get ",-1
"updated fresh female raunchy passed not repeated probably watched Still somewhere accompanying updated knew about fast still good go skimpy short even arousing pink n't beat full bouncing topless too stupid graying threatening turn ",-1
"convincing did n't exist probably remembered Usual got -The dumbest ever pulled trying convince actually saddest seen long so well really fantastic great very smart alas only heading so not single nagging little Pay here found explain enough probably capable explaining very very plausible seen read totally different explained set totally playing cunning play resembling jolly same painful terribly wrong apart blunt not dealing here blatant ultimately wrong here drunk crashed next take so many never resolved needing work drinking ever explained finally going pulled yet n't going anywhere thought awesome make anyway next something totally violating own professional easily instead contrived pseudo debate stomach avoid ",-1
"amazingly bad n't think ever seen failed as miserably Let see acting pathetic special horrible pretty much ",-1
"produced few decent acquire worst probably prime regarded belonging so bad good up there handing top made odd dodgy randy so incredibly bad seen believed ",-1
"bad sat too long n't believe so many talented wasted making hopelessly awful ",-1
"just plain terrible made see forced other watch worse put together made so terrible enough want kill made acting terrible completely different Literally so bad asked excused Basically rather watch Basic Take n't watch want watch horrible ",-1
"make supposed never told based DID acting neo-au-natural needed knew do individual all dreary go not want make as boring scalethank as alwaysJAY ",-1
"Once brought wonderfully thrilling such made looked fantastic ahead generated special landed showed gave possible new then happened countless obscene outlandish advertising maximum here never ever jump overly critical often taken opposite just get going however only took single absolutely gorgeous more wooden meant terrify actually comical falling hitting historically false n't even get started too much dire up there pointless so tedious absorbing pathetic disrespected else involved glad died disappointed did not plainly obvious designed appeal watching chewing chasing teenage resembled less heroic weedy drag sex-starved half hoping get lucky later worst did not stop went see expensive so much produce great said good crowning arrived swept serious fatal half based looked praying making inaccurately portraying However stupid sentimental enough buy get ripped Good make do right up there worst other historically false human ",-1
"say very curious viewing considered notorious released 20th also popped several bad only deepened just see made so bad seeing say make curious acting so laughingly bad supposed completely missing try carry so far down hill handle alone certainly sometimes doing there alter even own celebrated dumb certainly seemed convincing arguably most notorious went old plastic making sexual seemed more suitable n't mean put down personally looking good so unassured non-existent not only bad boring well old old even more disconnected own enjoyed glad least saw always reputed ",-1
"directed Italian partially filmed easily forgotten Even good lumber almost aimlessly new powerful fighting own Unwritten hard trust especially same not put real Just back American Even popular American n't boost also ",-1
"Sometimes see bad just appreciate good Well anyway always bad simply terrible Martial professional turned straight leaving past haunt kidnapped belonging rescue old other feisty save told cheesy whole lacked Much meaningless coupled as thin sum up bad remove remove throw Martial formulaic give due probably only emerge unscathed terrible shone n't say excellent absolutely work did manage dig Other only made other mostly very brief Elsewhere just fell completely unnatural unbelievable special obviously done clean blue editing involving numerous elementary unflattering seen better lost too many Most probably blown away same did n't leave much else Frankly made cheap n't do really apparent here forget ",-1
"grasp BORN coming consider final sung second followed two-and-half-minute striking Christ-like closing uninterrupted distinctive dead filling big uncompromising just cinematic musical yet performed including interminable n't allowed complete even single allow contribute little up actually consider least including taking musical also allegedly wanted failed get well as executive going former such controlled final so obsessed skewing n't explain come given make good only make look bad Even greatest arguably worst worst moving pop fast hard heading off previous leading help achieve feminist make clear skewed succeed pretty much endure obvious make leading not just tougher almost ruthless henpecked credible making little give much oddly aimless listless well other not entire not too rehearsed least too controlled Even apparent awkwardly premeditated supposed coldly mechanical making central totally unbelievable presume fading n't seem particularly young naive only conceivable offer exploit faster indeed actually play make openly play exploitive maybe exist actually sympathetic n't seem aware just cold-blooded absorbed not strong petty giving African American just so indulge lame calling big pointing ethnic using given changed previous so n't burdened too Jewish too unattractive So much ethnic backstage stabbing backbiting proceeded near legendary ended looking so polished remarkable delivered raw good considerable did serve producing decent including Oscar-winning overall turned reportedly claimed did n't want ",-1
"n't like then did n't think much lauded many found lacking disjointed illogical far more readable dreadful first not published became fashionable mid 80s intrigued see make such meager worked hard script-wise repair many did n't rescue There never ever tried stay forgettable ",-1
"worst ever seen weak n't even follow high-schoolish sound irritating not editing horrible even slow embarrassed associated n't waste even thinking acting ",-1
"First really happened other bleeding inexplicably Second n't scary worst ever Let elaborate edited not sure so just go gradually more more quiet forcing turn watched Then really loud supposedly scary shocking forcing quickly lower again many mercifully picture laughing vulgarly two-way watching franticly reaching remote watch scary asleep big then big anyway Here going make least add gratuitous 19-year-old blond just take eaten alive just out thrown scare drifty maniacal covered aluminum did n't even try scare just wanted hurt ",-1
"great no longer n't blind pretty ugly No conceived doing did respectively creating iconic new run embrace all-star filming meant go wrong Alas said premiered tried take legal reunited boozy abusive set find local poo-pooed conventional worth watching wonderfully hammy tanked singing Irish Indian somehow found did same despise creepily incestuous perhaps tropical long however local circulate famous future making rather odd fluently Given some probably not bad eventually located gigantic run halfway n't other watery generally located low-lying just many mount echoing hapless plummeted take nude giving see gratuitous Out nowhere single male Now usually never go near later wrestling venomous n't seem strong enchanted take seen wonder not only sued highly probable certain here badly Especially ridiculous clap finally get captured rather stereotypical prepare sacrifice eat execute Suffice say impaled huge n't stop dying delivering rambling far aware never materialized crucified no kidding directed living domestic ",-1
"confused finish used say secret played backward watch start come away same Apart psychedelic false clearest did n't get sorted like delivered comic dimensional so maybe rolling reveling just did n't get Well afraid get cardinal bad carried finish non-existent pathetic call far worst not single cared about least ",-1
"rented ago still worst ever made n't think ever finished worse made high doing newer n't remember n't understand possibly said too remember just horrible returned video asked even get back worst ever seen seen pretty bad ",-1
"Take got few ten-year-old come big enough too much as gritty recruited retrieve American stolen hidden hardbitten former now depraved blah depraved not much running shot keeping Apparently did n't see thought give even Even poor distant very little main silly enough blonde far bigger go simpering frightened butt-kicking back again amazing pretty much bottom here probably just out easy Look talented future Once stereotyped menacing Much too dull even guilty still noisy enough play want think ",-1
"other mentioned interesting comic got carried away artistic instead badly needed content stellar lackluster nearly incoherent likely cast purely get press good here lent Breathless inspired stratospheric due large not in slightest guess major came Breathless think out like back Save wasted not bother ",-1
"weak weak really weak special lost valuable watching random seem get sad main turned huge n't so bad laughable funny main only redeeming killed sad bad best cheer all said done better left cutting never funded ",-1
"crazy working obviously common disowned editing incredibly thin stupid only out nice shot never thought feel sorry making REALLY bad gifted never shown least refuse put anywhere out ahead actually beginning still locate probably worth only worth IMDb spoil spoiled ",-1
"not big only seen appreciate frightening not pretty sure n't scary so spooky little everywhere faraway establishing so real Not scary anyway third look-a-like giving worst ever seeing hearing mysterious Did lost first mysterious drowning did same old rich trying kill drive insane see well-done try more talented okay paired short however good now paraphrase bad ",-1
"started watch looked warm touching started well soon became boring frankly idiotic got so bad turned poorly acted n't really understand wanted understand exactly put lost rude acting singing cleaning committed most made throw token gay boring expecting more ",-1
"pretentious pretend endowed beautiful ignorant n't get Obviously stick artistic good chosen few Almost self drowning own almost equally embarrassing wallowing artistic difficult understand apparently best describe alienating ",-1
"terrible marginal well liked early seen original least crammed completely different major far-fetched next original go get hit still keep only took few change many longer real Also chose trash abuse shot dull n't painfully obvious not grieved lacked cut dried more exciting energetic Last surely not least made hit total say thereof n't waste watching ",-1
"Spanish not bad smart interesting not badly directed badly acted boring boring missed interesting ",-1
"really disappointing seen first really good really bore disappoint really waste went first get very small useless cut also not well define previous also not define confusing ",-1
"desperately break serious begged awry fired beautiful empty too startled discover uninvited soon help new navigate more finally make true not run smooth Soon stalking hoping true do loved old same not worthy tie proverbial truly undeniably awful supposed special flat too okay simply terrible overacting adequate as Even convince pick video assured find colossal bore so opt instead ",-1
"sat awful write so say bad Indeed supposed infuse visual forward constantly shaking playing propelling forward also editing random Apparently become hip just cut randomly too much do good editing Well made too much work most watch languished most over-hyped unwatched ",-1
"never follow too closely especially beloved saw executive thought good enjoyed n't bother so far afield hardly Here completely different n't think single made screen oh just worst passing really did n't cutting meant enthralled grown obnoxious juvenile simply not work ",-1
"watched sat entire miserable say worst get Now imagine admittedly slim now made hilarious n't know genuine acting pull Maybe trite formulaic even lower take Maybe believable insensitive bigoted appeal insensitive bigoted mass insensitive bigoted annoying unfunny necessary let alone entire noticeable n't believe identify not funny anymore ",-1
"please n't rent even buying n't even available red rent cost worth less main rented give hot other as well buy same more acting not even front watch almost whole most big huge ",-1
"most Arrogant Irresponsible colombian cliched dumb Colombian naked absolutely pitiful right out notable bring so one-dimensional cliched so badly written left work Not mention gratuitous ending so cheesy make editing most directing always lousy least previous n't say good Colombian mean-intended ",-1
"later regret blame alien rational later reveal engraved endless signing new picking homicidal still sending third mysteriously strapped guessed environmentally friendly thoroughly recycled turn stuttered repeating willing intact naive stemming cool looking really wanted work Sadly old explained entire sudden knowing still unseen worse knew just badly all suck Let perfectly clear here English sufficient ultimate properly describe just bad really As knowing wrong old not worthy fill conveniently sprouted extra main threatened meaningful infested miraculous concentrated poorly explained happen gave national Let try explain get set successful last First take rasta-talking remove ready club take close even call subtle give confused trying follow Finally raspy-voiced pointy worthy giant angry deleted latest lay particular modern Now run find sudden overlooked dissolved homogenized serve semi-gelatinous several found saying loud Make bad breaking call giving undeserved physical possibly pass somehow sleep most short ever burn punish hideous unspoken just ",-1
"Amateurish extreme especially overwrought documentary n't spin truly inane even worse disjointed meandering gaping get thrown rub suspected thus get found entirely unbelievable so many really rash only really did truly wasted make interesting financed ",-1
"liked Then became very stupid brainless used great liked did manage interesting imaginative programming putting as only interested making rather engaging making tuning old find interesting watch Perhaps look programing gone ",-1
"first snappy stylish Here recent still empty-handed parading sub-'Usual greatest ever pulled convincing attempting real internal maintain second last lead blind tediously slowly great too superficially too repetitively make much only almost watchable bold dynamic stuck more satisfying succumbed tighter editing n't made enjoyable not equal see great n't make logical incidentally also inexplicable solitary ",-1
"Well very insulting original expecting brilliant so disappointed awful original came few born now still favourite really excited see awful original very badly written directed acted not see again n't watch only leave very disappointed young n't bad still n't compare ",-1
"only did walk good n't really comply only get good low terrible sorry saw leaving stayed hoping better got worse make re-direct making definitely ",-1
"let not believe use n't like not not hated damn non extremely shaky whole seemed terrible clearly amateurish best sounded just narrated all did n't practice many talking also pretty damn bad whole mythical not taken seriously biblical stated not believe n't think not real personal probably real lived blown farther got According good virtually biblical Jewish regarded baptized accused sentenced left wondering more else left wondering trying convince more else most telling final religious not even coy unfair partially bad confronted just awkward watch perhaps get good going more tactile Instead off aggressive n't bad teach short did say oh yes seen now secular getting wrong done n't about do supposed documentary really doing here real so-called ",-1
"non thought really going holding thought great only got sided all interviewing n't know proper got Not retired wrote finished Personally not worth check right wrong not believe told think came not finding own got better not going say stunning help reading better really show about poor then entice not ",-1
"caught this few ago decided watch old got psychedelic go just bizarre Not only annoyingly forgettable requisite cheesy long collective produced good acid Talking British far too old huge whole otherwise willing get looped watching stay far far FAR away ",-1
"little better first still basically saying old not realistic thin so many more interesting There tremendous total Hopefully real come back ",-1
"Ask looked intriguing especially Unfortunately not compelling enough considered n't funny enough practically seemed satirize entertaining waiting get better walked valuing not wasted more such simply not interesting moving funny artistic as written produced directed high worse such shameful otherwise extraordinarily talented not mention ",-1
"Sometimes unique such other ever seen unfortunately unique different originally intended hopefully become clear commonly know apparently filmed extremely dull American somewhere opening play proper introduced real named own crappy little beef flavoured old teenage various real even more However ugly n't tempt young go else fateful old homeless go actually spoken hassling teenage help learned transform same crazy too much give public few extremely silly whistling yeah n't making up either first visibly disappointed significant console buy shocked sell underage bright happened claiming sent buy now straight local high teenage disguise oh become simply asking first harmless just hang soon brutally so determined catch responsible killing succeed again wrong watched mere ago clearly directed also definitely not credited not much more happy take making involved allowed go anywhere again ever easily worst ever seen saying absolutely terrible possible imaginable atrocious narrative happen so mind numbingly dumb untrue totally incomprehensible hired chase squirting simply dropping subsequent hilariously written psychically laughing hated well not only predictable open psychically mere technical awful bland inappropriate forgettable poorly edited killed clearly opposite worst acting sat very unimpressive special few quick worked virtually Even odd far long really boring sit go long about bad really n't quite work intentional indeed unique unique unique too said still not worst ever seen sure avoid ",-1
"n't programmed Italian seen called terrible chaotic dark fluorescent completely out n't describe visual first interesting few later busy interesting complete ",-1
"make already basically Well n't intrigue n't stay away seeing actually able sit n't play cheap even cheaper real only known call about living start live brilliant call as well getting Meanwhile somewhere else together So talk even thinking now giving totally unattractive remember american Well take now white drunk really too horrible out call getting seeing sing own hooking well least smart enough stay ",-1
"thought masterful replaced just n't same as portrayed Maybe recognized poor extended find pursued not expect wait long not find foul highly unnecessary shacked according stick first try forget ever saw ",-1
"late sending went down analog rental known Real bad latest lame never see saw there all lonesome seeing based serial just never understand therefore see put sudden very first sitting there Unsteady horrible first killed rather just calmly gab instead Then stuffed really decent say do own brutally unstable awful just decided make probably gathering show act Just plain awful then directing doing not make DVD renal left run interesting entertain Then break say see crappy did once ",-1
"went call went watch come not just asking back asked double bad acting n't believe hit so low reduced making 4th 5th secondary watched expecting see usually reduced using single take wrong unbelievable even read left wondering even picked as only doing n't show repeat other pathetic chopped shaky seemed deteriorated showing assassinated steadier cleaner honest tell not waste seeing not up read said paid still came concur direct DVD conscientious play ",-1
"watching worst possibly find good watching told again forced give good kicking serious ",-1
"Sadly misguided stunk finish hard watch used watch LOVED Then next found did gorgeous n't really heard watched n't believe even let like seen all Everything wrong still looked somewhere trying really really hard save sunk Too bad act love see real real ",-1
"latest going around starting casting So mean made dumped mean dumped coming 3rd so now there ever true also heard few brought back 3rd also heard Specially featured Hopefully not too much just stating latest ",-1
"red overwhelming got wanted see see one-dimensional not worth spend sometimes ",-1
"wonder existed made rough trimmed incoherent finance say good looking young canwith dramatic given apparent acting toput politely amateurish Not probably prove untrue anyoneactually attempt actually watch ",-1
"excited view total disappointed furious Too much too much too much Spanish horrible very human not pretty shown uncountable as well pseudo worst really see go see ",-1
"exactly merited real not able reprise already scant indulge obvious made fill professional martial expert good fair filling requisite comedic once repeating same few not get irritating really comic minor watch almost therein not go see serious however unintentional many followed only seen first so bad only wonder meant elaborate so terrible once welcome more less completely aforementioned instead whole new set indeterminate still going ahead minor new stronger more earlier all now called early primarily abstract barely more quickly told funding cut essentially turned somehow overhearing never really explained mobilise seeking shut only so often required put prevent automatic first short familiar constructed guess get injuring too badly woven about as much acting loaded ridiculous tell not strong kidding short adequate original given very thorough brought seen Here take granted least created leaving later Here shot massive presumably getting stopping reserve so bad entertaining completely unintentional see cheap knock mourn ",-1
"interesting watch however about n't really contain much cold hard not really true very sloppily tie together superb however Even right very look pretty intense Only see cool thin make sad wasted listening seen other based true however not find online so basically watch ",-1
"shot definitely tell Bad acting horrible lame decent special not make good make cry aimed high sorely missed ",-1
"sleek sexy Only multiple truly Personally intelligent left untouched right away wonderful really internal together wonderfully Not only alike gain higher modern sexual surely ",-1
"find redeeming examined submissive heroin-addicted part-time all received repeated abusive Now squirting all so gained somehow akin placing running patronizing just upset came too quickly murdering female then chopping relentlessly bullied circular only decent horrendous good shot otherwise expensive interested really serious most insane saw lousy then put Accused Oh as worse going sick ",-1
"bored looked Comcastic little find watch following n't warn not watch used just completely misnamed little depending do all crooked as badly as possible trying suck much trivial then serial Not only flawed thinking flick also serial completely wrong Serial killing down personal n't even dismember boring Eventually whopping done apparent come back head kill all buried tossed n't know buy sharp clean all wearing then very poorly take acting writing n't look zombie-like really dark all talk behave think act perfectly human weak compared even many Then exact same later Go only willing go topless trite so badly constructed see stopped painting obviously filming see bad overly sparse even blind see failing clear ",-1
"hard believe succeed topping so contrived unbelievable starting laying small spare Then collusive least maybe more including involved everywhere Next seemingly comparatively happy very shortly kicking very unpleasant aided abetted supported politically correct Moving did not help helped very beautiful supposedly housing did not seem logically suit small enough need small really like painfully thin certainly Also simply either thoroughly disliked taken did read kept surfing back forth leave saccharine got too much unbelievable wooden acting contorted religious mythological skip maybe small carping n't caring small small best ",-1
"most hateful cruel seen long Sadly duped sticking misleadingly gave last happen annoyingly whiny as stupid smarter killed just many made ask late-night so filled sadistic filled pathological Most particular focus terrorized murdered suspenseful sick twisted doing turning insulting misleadingly good BAGGED first used lure kicking wasting giving ",-1
"almost perfect only beaten new original super treated even worst ever seen just shove just silly wearing enough bad lois supposed hard more weak predictable actually ever thought acting horrible good going brilliant even not save needed different watched watching chocked learn existed worse then that ",-1
"justly famous most horrible ever produced insistent simplypathological even worse almost believable brief sheer strong sit n't recommend trying good ",-1
"as far looked catching last certain only n't substandard horrible horrible horrible saw commenting great Not all bad as well just turn instead see pasty white blocking seeing just gone so n't complete awful capitalized lone only looked so hot ",-1
